TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-'
DAL,DAL @ PHX,08/13/2020,L,240,102,39,89,43.8,8,26,30.8,16,19,84.2,11,32,43,17,3,4,11,18,-26
BKN,BKN vs. POR,08/13/2020,L,240,133,53,96,55.2,14,33,42.4,13,19,68.4,12,34,46,28,5,5,14,23,-1
BOS,BOS vs. WAS,08/13/2020,L,240,90,35,88,39.8,8,35,22.9,12,14,85.7,13,38,51,22,8,7,19,19,-6
TOR,TOR vs. DEN,08/14/2020,W,240,117,45,90,50,18,35,51.4,9,14,64.3,13,38,51,27,8,5,19,24,8
PHI,PHI @ HOU,08/14/2020,W,240,134,49,87,56.3,18,38,47.4,18,22,81.8,8,43,51,31,8,4,16,19,38
OKC,OKC @ LAC,08/14/2020,L,265,103,38,106,35.8,14,44,31.8,13,22,59.1,11,37,48,18,5,6,16,29,-4
MIA,MIA @ IND,08/14/2020,L,240,92,31,87,35.6,10,38,26.3,20,27,74.1,14,34,48,14,6,5,19,15,-17
LAC,LAC vs. OKC,08/14/2020,W,265,107,34,85,40,12,37,32.4,27,39,69.2,12,49,61,23,10,2,23,22,4
IND,IND vs. MIA,08/14/2020,W,240,109,43,89,48.3,15,38,39.5,8,11,72.7,12,39,51,32,11,3,20,27,17
HOU,HOU vs. PHI,08/14/2020,L,240,96,35,80,43.8,12,48,25,14,16,87.5,1,26,27,25,10,9,17,18,-38
DEN,DEN @ TOR,08/14/2020,L,240,109,36,87,41.4,16,38,42.1,21,23,91.3,9,32,41,27,9,11,16,15,-8
